
PAYLOAD__CHANNEL_ID,PAYLOAD__CHANNEL_TITLE,PAYLOAD__METRICS__CHANNEL_METRICS__VIEWS,PAYLOAD__METRICS__CHANNEL_METRICS__SUBSCRIBERS
UCbwkSuFmwbalyCOrwXAtSXA,Regenere / Thierry Casasnovas,107555418,739000
UCmgnsaQIK1IR808Ebde-ssA,Breitbart News,107209158,356000
UCfqU-kKXq868D6d4fy8fhkA,Lenta.ru,104098396,514000
UChUByu3QDGaVD6iyt0jzngw,Ultrahang,100422998,161000
UCQMb7c66tJ7Si8IrWHOgAPg,Liberty Hangout,99700268,669000
UCREM9VRZnIJHTw-oqfwgNUQ,History Debunked,99038496,209000
UCjH72OaQxPoKgtv56C-4NOA,Tariq Radio,98915913,228000
UCb1Pugmxopj1EQ7XAO7Tg4g,Vince Dao,97433247,240000
UCBDrbqudUtPUQxAK_K2JaNQ,Lisa Haven,95431375,497000
UC-cBbqorFmquilxI8KylKwA,Federation for American Immigration Reform,94756286,34700
UCeIKdSZRSAUm88iS4G9_ohA,Psychopoly,93457117,324000
UCIAXaU6LIcZyoHYWqVLM4wg,Waldorf Nation,93037760,182000
UC0gFXBCSn7U2VwE5j0jO-Gg,TDN,92617147,93600
UCqN2iOW580CFSohYzruos2A,Decoy Voice,92476649,503000
UC4F32QLrpDmmRrozxr9z59g,U MIÓ QUE TÁ TENO,90781330,1060000
UCqVeMUffsoeo9idMRcse0lQ,wwwMOXNEWScom,90593091,114000
UCLUrVTVTA3PnUFpYvpfMcpg,Lauren Chen,90090072,554000
UCG8yy4W8nBbTle9YSpCqXeg,Crossroads with JOSHUA PHILIPP,89780940,615000
UCVEaFSr-jdTa_QE4PPSkVJw,Truthstream Media,89542864,586000
UC6x4zJADfr5Z4w-bf8lbrcg,m o d e r n i t y,89492317,334000
UCa38X3NJPVlVIYlOg9R7FYw,The Blaire White Project,88933011,543000
UCiTKi7Ahf3E2yMGpmIxSvgw,Deutschland Kurier,88412310,199000
UCfMqB9cB9RfC1r2CMPnYDNw,Palestrante Tiago Rocha,88405567,1750000
UClcyhW2x45yij-nR9DTEBVQ,TBV Knowledge & Truth,88200396,761000
UCvs7ezgyspsIeCCEYlbfsFQ,Ovation Eddie 2,87882608,90100
UCeLc4heXqG9dtL7jiPHMBfQ,The Epoch Times,86851651,569000
UCzzLIhDbFYU46T4VFBz_m_g,Actual Justice Warrior,86478095,301000
UCS_0Yt7tPIgDQXmwhAMNIsw,Truthunedited,85969873,710000
UCPCDmYOJJ08h-pG8J2iMDjA,REAL Bible Believers,84765646,428000
UCEcMWs6GudljuLw0-Umf97A,Spirit Science,84655905,1370000
UC6cF_2V1vNKx-nFdGd8cOcA,Alex Christoforou,82856260,191000
UCOBNx5Pdw7FZkh2oQR3i9SQ,Jesse Lee Peterson,81190637,422000
UCkSEq4JuI5VxqWIrRY2-pew,Boris Reitschuster,80845921,366000
UCK9s7XcozmYF5RfETWFcCVQ,Informer,79805579,134000
UCYDaGPmMfSXViITpPYDKIcw,金臨天下,75729588,254000
UCf-U0uPVQZtcqXUWa_Hl4Mw,Into the Shadows,75586109,773000
UC2m9zx3PiNWG8v0KIo-dWIg,役情最前線 Zac主播,75236765,110000
UC51_awyLXl2nxCduuzzmw4w,LibertyPen,74956745,225000
UCTamXcimfIHE7tMBzTRiFKw,TFP Student Action,73618301,241000
UCXdOgiTcdHCpQOyDxgwHdDg,Liz Wheeler,72026109,392000
UCM05jgFNwoeXvWfO9GuExzA,Luke Beasley,69881253,240000
UC_7vFlErTHxVD-IFNB-BFCg,America Uncovered,67448612,522000
UCla6APLHX6W3FeNLc8PYuvg,Lauren Southern,64044355,713000
UCavk8KLWg5sWuDGrNIiqZ4A,Dronetek,63536904,152000
UCwB7r7WFuSWib5MSvzL1XGQ,NakanuneTV,62680998,149000
UCwW_vaMPlq8J4weKDsfeJzw,Bearing,62514437,533000
UCxeY-wRrb65Jt37QHa5xMog,Matt Christiansen,61899419,239000
UCnnKAcmMC3u4KzUSgU_LarQ,brianmonarch,60907388,148000
UC8c-i0G5ySY3giqIQepEjcQ,Salty Cracker,60361904,843000
UCTQQb3F6qDKXObGAE27HtVw,Vincent Lapierre,60110877,379000
UCnJ4_k4JY_O45NdJHoLxjJA,Focus on the Family,60038036,465000
UCmuTmpLY35O3csvhyA6vrkg,TeleSUR English,58474195,211000
UCI8DegIWgK51cGakXcf1dOQ,Arab News,57955305,103000
UC49dfZBS64q4Kt7yfxZNoLQ,Rumble.com,57930166,128000
UCAirxjav0VYKJoeeZVcH2CQ,РБК-Україна,56980138,135000
UCbb5jNoRlRQ1UBjO_7fF_Iw,JP Reacts,55538667,497000
UClXev0oQLuZapY_Jc_kKKTg,NetNarrator,54119346,62900
UCc_xb7PzMhsoAnVxJw9vV3w,JESUS CAMINO VERDAD Y VIDA,53990257,472000
UCOp-_-lVkj9MO1VPLAyHvYQ,Mystery History II,53921520,241000
UC9-6mg97TjPerDjXIMFEF2Q,Dnevnik,52081888,73000
UC6P8LT59hNgA8bes61IA9Ow,Bill Whittle,51650278,186000
UCFTS8s8mOgz-Qb-UvB7fYqQ,Свободная Пресса,51046162,314000
UCoNabUSDcUb9iuSr256mLMg,Catholic Online,50269938,188000
UCprclkVrNPls7PR-nHhf1Ow,Tony Heller,50183184,122000
UCp7-qzCP2yZIOpEG_lq_ajQ,Mr. Burgandy,48416137,74600
UC4gb8x7QSAfjV5A9HI7KM0g,Newzmagazine.com,47518765,268000
UCgG9BnqkGnU-ouYa5eAOdEw,Limes Rivista Italiana di Geopolitica,47010051,229000
UCSTTPGPS-lm0YVb4DMJ3lTA,Dr Joe Dispenza,46540530,1010000
UCfb7LAYCeJJiT3gyquv7V5Q,DIE DA OBEN!,45977863,263000
UCugPfoxZZBN1DBK04-AdBTg,Аргументы и факты - AиФ,45385833,152000
UCjpoTfA8TXO6QfAWiAB67eA,REAL TV,45385644,160000
UCMRxoFJPZiBcxgFzxN0ao-w,SLIGHTLY OFFENSIVE,44511406,560000
UC-VPSQdVNJyI1afN27L9Jgw,UFO SECTION 51,43292370,273000
UCG-PWAwwnL8F6S4j_XCBFQQ,INFORMATIVO G24,43183858,550000
UC7oQL6bXDLVlfRzeF8_KcGw,Mondoweiss,42779582,97000
UCIA3flGw7EPkw9c7S-qGjbQ,Ligne Droite • La matinale de Radio Courtoisie,42626909,240000
UCYAUkxkaCWJm5yoaKvqpjMQ,luogocomune2,42207040,223000
UCjRXO-HSl5XpuF-cWvtMV_g,Tim Black TV,41729144,160000
UC8TvKot1C2xJPCg1_H6OMag,Lou Valentino,39874366,336000
UCCllZTHrcly_pkPvb_V1ovA,Live News,39548219,56500
UCVqS-HRwe2vq_Jjgu4fg-UA,Dr. Uronal Zancan,39537354,848000
UCk9mgpQVdJ5oKQWkM1UPBaQ,Dr. Lair Ribeiro Oficial,39288757,1340000
UCDVb4m_5QHhZElT47E1oODg,The Dave Cullen Show,39050312,220000
UCqYf0XacrXizu9KI1kgqq3g,ThePatriotNurse,38842621,529000
UCWc3I_Jt_YV3qtEvtvNOs-A,Alexandre Lebreton,38793767,156000
UCmWhuFRkZKu0g-e1xrlakVA,American Thought Leaders - The Epoch Times,38333110,375000
UCeRYN0tYBQVrC2cKsxJjdow,Double Down News,38296549,447000
UCE2UJ-MRnYK6uBFNpjur8AQ,Mother & Refuge of the End Times,38280882,127000
UC-JEgJ3NV-lpnAjbm81tNsg,Gina Maria Colvin Hill,37155368,147000
UCVkSF37pPXkZbElFjBwUsEA,The New Atlas,37068952,249000
UCobue-_fUPSIwdWULdE3MbQ,HasanAbi Moments (Fan Channel),36458679,56100
UC2UNU3wdDuPZ4GGeTH9XUBw,Knowledge is Power - Gary Lite,36356776,399000
UCzaLLiX6Rn3pjqAlbWD9mGQ,Larry Elder,36168571,294000
UCU29U7l35Xx8V96Lnx8MP2g,Verdade Mundial,35138522,362000
UCaYPEP4en3RHlvC5r34YR2g,TheRemnantVideo,34943574,266000
UCBwEUpvtFEg07uQ_qphHYWA,Oumma,34832579,78700
UCuTIiHyNqELu6RNtB4AahAA,John Acquaviva,33728092,271000
UChq7IIJgKBr5cElD44Q6PlA,Investig'Action,33716810,276000
UCgE0m1BKHs0YS5SItQwgnAw,NEWS INDIA MALAYALAM POINT,33504671,95600
UC5vXBfxN7rxKeJHJxS8dNDw,JonLevi,33041419,306000
UCfKTTU7BQvBd3mpRoTk95kw,The Leo King,32036948,131000
UCh8sNGhBJFBrPTLw5fzk1uA,Говорит Москва,31846059,117000
UCzZpgppwC_XQMe8lFiI77-Q,John Doyle,31543246,355000
UC2rPFY8db0FIU-iSE_PQrlA,Lights Out,31299437,445000
UCp_ShZAUGtFLpYkgcTrayRQ,The Real Truth About Health,30862253,221000
UCm3i_fqq8dqsV-dTAriv2KA,Discovery Science,30017495,213000
UCQYMi1l-hMlMHArsufVf3OQ,russland.RU,29780317,61500
UCKUWslMkI9pdEpfNACDqcPA,MEME THE LEFT,29357002,200000
UCE1PSKHiQIi4WF9ZTHGJCRg,Good Fight Ministries,28984823,204000
UCyD8iZpuGD6SieCtmKnsmEQ,StrangerThanFiction,28600706,616000
UCZoK---OvITtVXvgFQ-trSA,The Prepared Homestead,27919306,107000
UCFSx08Ew0iiWKyAz54Opdhw,Sanity 4 Sweden,27805296,63300
UCdS4i7wSZucYoSx_o7IptDQ,Gazeta UA,27390906,49300
UChxRZlJNYPVXi_CH6sYS5VQ,ThePostOnline TPO,27263181,31300
UC8lpL02laIrnMRW19hK7JTQ,Wings Over Scotland,27055228,12700
UCAHVeeUYu70LGb0c0Rfb5Ig,Political Voices Network,26852846,106000
UC90omyqyRnxU1mxoQcpIdow,Tim Henderson,26796802,55400
UCuSfudwRhrSvXV8rL6sfHAA,Dentro la Notizia - RobyMaster,26311726,133000
UClt9lKNq32cXigDXra0irOg,The Kwak Brothers,25500005,349000
